[0, 6]
[1, 6]
[2, 6]
[3, 6]
[4, 1]
[5, 6]
[6, 1]
[7, 3]
[8, 4]
[9, 6]
[10, 6]
[11, 6]
[12, 3]
[13, 6]
[14, 6]
[15, 5]
[16, 6]
[17, 6]
[18, 5]
[19, 4]
[20, 5]
[21, 4]
[22, 4]
[23, 6]
[24, 5]
[25, 6]
[26, 6]
[27, 4]
[28, 6]
[29, 2]
[30, 6]
[31, 5]
[32, 6]
[33, 5]
[34, 5]
[35, 5]
[36, 6]
[37, 5]
[38, 6]
[39, 6]
[40, 6]
[41, 6]
[42, 6]
[43, 6]
[44, 6]
[45, 6]
[46, 1]
[47, 6]
[48, 5]
[49, 5]
[50, 5]
[51, 5]
[52, 5]
[53, 6]
[54, 6]
[55, 6]
[56, 5]
[57, 6]
[58, 5]
[59, 6]
[60, 4]
[61, 6]
[62, 5]
[63, 6]
[64, 5]
[65, 6]
[66, 5]
[67, 5]
[68, 5]
[69, 5]
[70, 6]
[71, 6]
[72, 6]
[73, 6]
[74, 6]
[75, 5]
[76, 6]
[77, 6]
[78, 6]
[79, 6]
[80, 5]
[81, 5]
[82, 6]
[83, 5]
[84, 6]
[85, 5]
[86, 6]
[87, 6]
[88, 5]
[89, 6]
[90, 6]
[91, 5]
[92, 5]
[93, 6]
[94, 6]
[95, 6]
[96, 6]
[97, 6]
[98, 5]
[99, 6]
[100, 5]
[101, 6]
[102, 6]
[103, 6]
[104, 5]
[105, 6]
[106, 2]
[107, 5]
[108, 5]
[109, 3]
[110, 6]
[111, 5]
[112, 6]
[113, 6]
[114, 6]
[115, 5]
[116, 4]
[117, 6]
[118, 4]
[119, 6]
[120, 5]
[121, 6]
[122, 4]
[123, 4]
[124, 5]
[125, 6]
[126, 4]
[127, 5]
[128, 6]
[129, 6]
[130, 6]
[131, 6]
[132, 6]
[133, 4]
[134, 5]
[135, 6]
[136, 6]
[137, 5]
[138, 6]
[139, 5]
[140, 5]
[141, 4]
[142, 6]
[143, 6]
[144, 6]
[145, 5]
[146, 6]
[147, 6]
[148, 6]
[149, 6]
[150, 6]
[151, 6]
[152, 6]
